"Refs","Value","Footprint","Qty","DNP"
"B1_D1","LED","","1",""
"B1_D2","LED","","1",""
"B1_D3","LED","","1",""
"B1_J1","Power/IO Header 1x6","","1",""
"B1_J2","Extra IO Header 1x6","","1",""
"B1_R1","220 ohm","","1",""
"B1_R2","220 ohm","","1",""
"B1_R3","220 ohm","","1",""
"B1_R4","10k pulldown","","1",""
"B1_R5","10k pulldown","","1",""
"B1_SW1","Push Button","","1",""
"B1_SW2","Push Button","","1",""
"B1_U1","Arduino Nano","Module:Arduino_Nano","1",""
"B2_C1","Input capacitor","","1",""
"B2_C2","Input capacitor","","1",""
"B2_C3","Input capacitor","","1",""
"B2_C4","Input capacitor","","1",""
"B2_C5","Output/filter capacitor","","1",""
"B2_C6","Output/filter capacitor","","1",""
"B2_C7","Output/filter capacitor","","1",""
"B2_C8","Output/filter capacitor","","1",""
"B2_D1","Status LED","","1",""
"B2_D2","Status LED","","1",""
"B2_J1","Stereo input jack","","1",""
"B2_J2","Aux/test audio jack","","1",""
"B2_R1","Audio resistor","","1",""
"B2_R2","Audio resistor","","1",""
"B2_R3","Audio resistor","","1",""
"B2_R4","Audio resistor","","1",""
"B2_R5","Audio resistor","","1",""
"B2_R6","Audio resistor","","1",""
"B2_R7","Audio resistor","","1",""
"B2_R8","Audio resistor","","1",""
"B2_RV1","Potentiometer","","1",""
"B2_RV2","Potentiometer","","1",""
"B2_RV3","Potentiometer","","1",""
"B2_SPK1","Left speaker","","1",""
"B2_SPK2","Right speaker","","1",""
"B2_U1A?","LM358 channel A","","1",""
"B2_U1A?","LM358 channel A","","1",""
"B2_U1A?","LM358 channel A","","1",""
"B2_U1B?","LM358 channel B","","1",""
"B2_U1B?","LM358 channel B","","1",""
"B2_U1B?","LM358 channel B","","1",""
"B2_U3","PAM8403","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","1",""
