Ref,Val,Package,PosX,PosY,Rot,Side
"B1_D1","LED","LED_D5.0mm",64.770000,-13.970000,0.000000,top
"B1_D2","LED","LED_D5.0mm",80.010000,-13.970000,0.000000,top
"B1_D3","LED","LED_D5.0mm",95.250000,-13.970000,0.000000,top
"B1_J1","Power/IO Header 1x6","PinHeader_1x06_P2.54mm_Vertical",39.370000,-12.700000,0.000000,top
"B1_J2","Extra IO Header 1x6","PinHeader_1x06_P2.54mm_Vertical",52.070000,-12.700000,0.000000,top
"B1_R1","220 ohm","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",109.220000,-12.700000,0.000000,top
"B1_R2","220 ohm","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",11.430000,-67.310000,0.000000,top
"B1_R3","220 ohm","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",30.480000,-67.310000,0.000000,top
"B1_R4","10k pulldown","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",49.530000,-67.310000,0.000000,top
"B1_R5","10k pulldown","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",68.580000,-67.310000,0.000000,top
"B1_U1","Arduino Nano","Arduino_Nano",12.700000,-15.240000,0.000000,top
"B2_C1","Input capacitor","C_Disc_D5.0mm_W2.5mm_P2.50mm",43.180000,-86.360000,0.000000,top
"B2_C2","Input capacitor","C_Disc_D5.0mm_W2.5mm_P2.50mm",57.150000,-86.360000,0.000000,top
"B2_C3","Input capacitor","C_Disc_D5.0mm_W2.5mm_P2.50mm",71.120000,-86.360000,0.000000,top
"B2_C4","Input capacitor","C_Disc_D5.0mm_W2.5mm_P2.50mm",85.090000,-86.360000,0.000000,top
"B2_C5","Output/filter capacitor","C_Disc_D5.0mm_W2.5mm_P2.50mm",99.060000,-86.360000,0.000000,top
"B2_C6","Output/filter capacitor","C_Disc_D5.0mm_W2.5mm_P2.50mm",113.030000,-86.360000,0.000000,top
"B2_C7","Output/filter capacitor","C_Disc_D5.0mm_W2.5mm_P2.50mm",12.700000,-101.600000,0.000000,top
"B2_C8","Output/filter capacitor","C_Disc_D5.0mm_W2.5mm_P2.50mm",26.670000,-101.600000,0.000000,top
"B2_D1","Status LED","LED_D5.0mm",12.700000,-87.630000,0.000000,top
"B2_D2","Status LED","LED_D5.0mm",27.940000,-87.630000,0.000000,top
"B2_R1","Audio resistor","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",39.370000,-101.600000,0.000000,top
"B2_R2","Audio resistor","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",58.420000,-101.600000,0.000000,top
"B2_R3","Audio resistor","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",77.470000,-101.600000,0.000000,top
"B2_R4","Audio resistor","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",96.520000,-101.600000,0.000000,top
"B2_R5","Audio resistor","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",11.430000,-113.030000,0.000000,top
"B2_R6","Audio resistor","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",30.480000,-113.030000,0.000000,top
"B2_R7","Audio resistor","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",49.530000,-113.030000,0.000000,top
"B2_R8","Audio resistor","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",68.580000,-113.030000,0.000000,top
"B2_U1A","LM358 channel A","DIP-8_W7.62mm",87.630000,-67.310000,0.000000,top
"B2_U1B","LM358 channel B","DIP-8_W7.62mm",106.680000,-67.310000,0.000000,top
