Ref,Val,Package,PosX,PosY,Rot,Side
"C001_C_100NF_FLASH","100nF Capacitor","C_Disc_D5.0mm_W2.5mm_P2.50mm",44.450000,-123.190000,0.000000,top
"C001_DECOUPLING_CAPACITOR_ESP","100nF","C_Disc_D5.0mm_W2.5mm_P2.50mm",58.420000,-123.190000,0.000000,top
"C001_DECOUPLING_CAPACITOR_MAIN","100nF","C_Disc_D5.0mm_W2.5mm_P2.50mm",72.390000,-123.190000,0.000000,top
"C001_ESP32_WROOM","ESP32-WROOM Module","ESP32-WROOM-32",63.500000,-71.120000,0.000000,top
"C001_I2C_HEADER","I2C Header","PinHeader_1x04_P2.54mm_Vertical",129.540000,-12.700000,0.000000,top
"C001_LED_INDICATOR","LED","LED_D5.0mm",142.240000,-13.970000,0.000000,top
"C001_POWER_LED","Power LED","LED_D5.0mm",157.480000,-13.970000,0.000000,top
"C001_RESET_CAPACITOR","100nF","C_Disc_D5.0mm_W2.5mm_P2.50mm",86.360000,-123.190000,0.000000,top
"C001_RES_USB_CC1","Resistor","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",99.060000,-123.190000,0.000000,top
"C001_RES_USB_CC2","Resistor","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",118.110000,-123.190000,0.000000,top
"C001_R_10K_PULLUP_BOOT","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",137.160000,-123.190000,0.000000,top
"C001_R_10K_PULLUP_EN","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",156.210000,-123.190000,0.000000,top
"C001_R_10K_PULLUP_FLASH_HOLD","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",11.430000,-152.400000,0.000000,top
"C001_R_10K_PULLUP_FLASH_WP","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",30.480000,-152.400000,0.000000,top
"C001_R_10K_PULLUP_RTC","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",49.530000,-152.400000,0.000000,top
"C001_R_10K_PULLUP_SD_CD","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",68.580000,-152.400000,0.000000,top
"C001_R_220_PWR","220 ohm","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",87.630000,-152.400000,0.000000,top
"C001_R_220_STATUS","220 ohm","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",106.680000,-152.400000,0.000000,top
"C001_SCL_PULLUP","SCL Pull-up","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",125.730000,-152.400000,0.000000,top
"C001_SDA_PULLUP","SDA Pull-up","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",144.780000,-152.400000,0.000000,top
"C001_W25Q64","W25Q64 Flash IC","SOIC-8_3.9x4.9mm_P1.27mm",21.590000,-132.080000,0.000000,top
