"Refs","Value","Footprint","Qty","DNP"
"C002_ACS712","ACS712 Current Sensor","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"C002_ARDUINO_NANO?","Arduino Nano","Module:Arduino_Nano","1",""
"C002_BC547_RELAY_1","BC547 NPN Transistor","Package_TO_SOT_THT:TO-92_Inline","1",""
"C002_BC547_RELAY_2","BC547 NPN Transistor","Package_TO_SOT_THT:TO-92_Inline","1",""
"C002_CAN_TERMINAL?","CAN Terminal","","1",""
"C002_CAP_7805_IN?","Capacitor","","1",""
"C002_CAP_7805_OUT?","Capacitor","","1",""
"C002_DC_BARREL_JACK?","DC Barrel Jack","","1",""
"C002_DC_MOTOR?","DC Motor","","1",""
"C002_DECOUPLING_CAPACITOR_MAIN?","100nF","","1",""
"C002_DECOUPLING_CAPACITOR_NANO?","100nF","","1",""
"C002_D_1N4007","1N4007 Diode","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"C002_FLYBACK_DIODE?","Flyback Diode","","1",""
"C002_FUSE?","Fuse","","1",""
"C002_I2C_HEADER?","I2C Header","","1",""
"C002_INPUT_CAPACITOR?","Input Capacitor","","1",""
"C002_IRLZ44N?","IRLZ44N MOSFET","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"C002_LM7805","LM7805 Voltage Regulator","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"C002_MCP2515","MCP2515 CAN Controller","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","1",""
"C002_POWER_LED?","Power LED","","1",""
"C002_PUSH_BUTTON_RESET?","Push Button","","1",""
"C002_PWR_5V?","DC Voltage Source","","1",""
"C002_RELAY_5V_1","5V Relay","","1",""
"C002_RELAY_5V_2","5V Relay","","1",""
"C002_RELAY_FLYBACK_DIODE_1","Relay Flyback Diode","","1",""
"C002_RELAY_FLYBACK_DIODE_2","Relay Flyback Diode","","1",""
"C002_RESET_CAPACITOR?","100nF","","1",""
"C002_R_10K_PULLUP_CAN_RST?","10k","","1",""
"C002_R_10K_PULLUP_RST?","10k","","1",""
"C002_R_120_CAN?","120 ohm","","1",""
"C002_R_220_PWR?","220 ohm","","1",""
"C002_R_CAN_SLOPE?","resistor","","1",""
"C002_R_GATE_MOTOR?","resistor","","1",""
"C002_R_MOTOR_GATE_PULLDOWN?","resistor","","1",""
"C002_R_RELAY1_BASE?","resistor","","1",""
"C002_R_RELAY2_BASE?","resistor","","1",""
"C002_SCL_PULLUP?","SCL Pull-up","","1",""
"C002_SCREW_TERMINAL_R1_COM?","Terminal","","1",""
"C002_SCREW_TERMINAL_R1_NC?","Terminal","","1",""
"C002_SCREW_TERMINAL_R1_NO?","Terminal","","1",""
"C002_SCREW_TERMINAL_R2_COM?","Terminal","","1",""
"C002_SCREW_TERMINAL_R2_NC?","Terminal","","1",""
"C002_SCREW_TERMINAL_R2_NO?","Terminal","","1",""
"C002_SDA_PULLUP?","SDA Pull-up","","1",""
"C002_TJA1050","TJA1050 CAN Transceiver","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"C002_UART_HEADER?","UART Header","","1",""
