original_path,local_path,sha256,classification,purpose,retention_reason,ignore_rule
local-only infrastructure,.codex_pytest_hc266_1x/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.codex_pytest_hc266_scale/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.codex_pytest_hc266_twopin/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.codex_pytest_hc266_twopin_scale/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.codex_pytest_hc86_scale/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.codex_pytest_hc86_twopin_scale/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.codex_tmp/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_cache/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_executable_final/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_full/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_proteus_app/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_proteus_app_final/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_reorg_catalogue_first_fail/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_reorg_catalogue_placer_after_policy/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_reorg_catalogue_second_pass/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_reorg_focus_after_path/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
